latitude,longitude,cluster,booking_type,ds,price_min,price_max
22.3037649,70.802086,0,1,2024-05-10 07:10:00,-inf,2000033304.0
22.3037649,70.802086,0,1,2024-05-10 07:13:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-10 07:14:00,-inf,2000033304.0
22.3037649,70.802086,0,1,2024-05-10 07:27:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-10 08:38:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-10 09:10:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-10 09:13:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-10 09:15:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-10 10:28:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-10 12:27:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 07:07:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 07:07:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 10:37:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 10:54:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 10:57:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 11:33:00,-inf,2000033304.0
22.2483904,70.7514685,0,1,2024-05-13 12:06:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 12:06:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-13 12:07:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 12:07:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 12:19:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 12:19:00,-inf,2000033304.0
22.3038945,70.80215989999999,0,1,2024-05-13 12:46:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 12:50:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-13 12:52:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-13 12:57:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-14 04:32:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-14 04:33:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-14 04:47:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-14 04:48:00,-inf,2000033304.0
22.2703862,70.7405662,0,1,2024-05-14 05:40:00,-inf,2000033304.0
22.3037649,70.802086,0,1,2024-05-14 05:43:00,-inf,2000033304.0
22.3037649,70.802086,0,1,2024-05-14 06:24:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-14 06:24:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-14 06:36:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-14 08:17:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-14 08:17:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-14 08:34:00,-inf,2000033304.0
22.2483904,70.7514685,0,1,2024-05-14 08:47:00,-inf,2000033304.0
22.2483904,70.7514685,0,1,2024-05-14 10:13:00,-inf,2000033304.0
22.2483904,70.7514685,0,1,2024-05-15 06:48:00,-inf,2000033304.0
22.2705784,70.73857989999999,0,2,2024-05-15 06:51:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 07:00:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 07:00:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 07:08:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 07:12:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 07:44:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 09:19:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 09:19:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 10:52:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 10:54:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-15 10:55:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-16 04:26:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-16 05:08:00,-inf,2000033304.0
22.2483904,70.7514685,0,1,2024-05-16 05:16:00,-inf,2000033304.0
22.3038949,70.8022268,0,1,2024-05-16 06:43:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-16 07:06:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-16 07:06:00,-inf,2000033304.0
22.3037649,70.802086,0,1,2024-05-16 08:04:00,-inf,2000033304.0
22.3038949,70.8022268,0,1,2024-05-16 08:04:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-16 08:07:00,-inf,2000033304.0
22.2705825,70.7385948,0,1,2024-05-16 08:07:00,-inf,2000033304.0
