latitude,longitude,cluster,booking_type,ds,price_min,price_max
22.2708335,70.73874789999999,0,1,2025-02-13 21:04:00,50.0,3494.66
22.2708335,70.73874789999999,0,1,2025-02-13 21:19:00,0.0,8013.3059
22.270776197269853,70.73867955755078,0,1,2025-02-13 21:34:00,0.0,40.0
22.2705784,70.73857989999999,0,1,2025-02-13 21:49:00,0.0,1435.8
22.27077461453136,70.73882596760048,0,1,2025-02-13 22:04:00,50.0,3494.66
22.2708335,70.73874789999999,0,1,2025-02-13 22:19:00,0.0,8013.3059
22.270768015404872,70.73880879437776,0,1,2025-02-13 22:34:00,0.0,40.0
22.270752204809916,70.7388065746023,0,1,2025-02-13 22:49:00,0.0,1435.8
22.2705784,70.73857989999999,0,1,2025-02-13 23:04:00,50.0,3494.66
22.2705784,70.73857989999999,0,1,2025-02-13 23:19:00,0.0,8013.3059
22.270748745584356,70.73880007328756,0,1,2025-02-13 23:34:00,0.0,40.0
22.270714437806085,70.73873371966029,0,1,2025-02-13 23:49:00,0.0,1435.8
